277085,Love Letter,2019,7.51301,331,1.117
340364,Machi Koro 2,2021,7.11243,1947,1.5278
209778,Magic Maze,2017,6.94661,747,1.7519
371042,Magic: The Gathering — Game Night: Free For All,2022,7.20964,11757,2.5
156496,March of the Ants,2015,7.13186,2312,2.716
29223,Marrakech,2007,6.69834,1685,1.3386
99875,Martian Dice,2011,6.12152,3790,1.0696
285774,Marvel Champions: The Card Game,2019,8.1143,43,2.9482
298047,Marvel United,2020,7.56435,308,1.8179
139030,Mascarade,2013,6.55681,1660,1.5293
159581,Maskmen,2014,6.93337,2282,1.7143
211734,Master of Respect,2016,7.05187,5177,2.3077
331647,Mazescape: Labýrinthos,2021,6.56845,5716,1.0833
261114,Men at Work,2018,7.20775,1176,1.0781
284653,Mind MGMT: The Psychic Espionage “Game.”,2021,7.85797,304,2.9254
164840,Monopoly Deal,2014,6.33957,3892,1.2821
330403,Moon Adventure,2021,6.68425,4726,2.2273
214293,Mountains of Madness,2017,6.50118,2664,2.0702
423270,Moving Wild,2024,6.98204,4500,1.9333
295486,My City,2020,7.6076,251,1.9805
181304,Mysterium,2015,7.20334,419,1.8924
387388,Nanatoridori,2023,6.79074,4704,1.0833
167355,Nemesis,2018,8.25525,23,3.4812
300877,New York Zoo,2020,7.02719,873,1.9511
293014,Nidavellir,2020,7.56983,242,2.1118
391084,Nine Tiles Extreme,2023,6.43773,10622,1.0
279869,Nine Tiles Panic,2019,6.92815,2283,1.2667
12942,No Thanks!,2004,7.07926,532,1.1305
294693,Nokosu Dice,2016,7.58314,1821,2.2
194879,Not Alone,2016,6.96485,915,1.9876
284435,Nova Luna,2019,7.26565,613,1.8764
234277,Nusfjord,2017,7.64198,372,2.85
7803,O'NO 99,1980,5.6983,20717,1.1667
380178,OASIS New Hope,2023,5.83218,20997,1.7143
406854,Odin,2024,6.74328,2850,1.2414
147949,One Night Ultimate Werewolf,2014,7.04232,643,1.3785
253759,Paint the Roses,2022,7.2051,1524,2.4615
30549,Pandemic,2008,7.52503,161,2.397
280136,Paranormal Detectives,2019,6.96308,1833,1.6739
266524,PARKS,2019,7.6434,158,2.1246
163412,Patchwork,2014,7.58723,136,1.5997
256960,Pax Pamir: Second Edition,2019,8.15151,48,3.8488
400995,Perspectives,2023,7.69682,2619,1.8
45,Perudo,1800,6.922,852,1.2513
215471,Photograph,2016,7.40071,1610,2.0256
53317,Pictureka! Card Game,2008,5.07581,28193,1.0286
258779,Planet Unknown,2022,7.79246,177,2.2375
274960,Point Salad,2019,7.11833,551,1.15
156009,Port Royal,2014,7.11237,595,1.6204
180974,Potion Explosion,2015,7.12157,563,1.7792
260180,Project L,2020,7.46481,375,1.562
300700,Quetzal,2020,6.78439,3475,2.1
624,Quoridor,1997,6.64898,1585,1.8134
28143,Race for the Galaxy,2007,7.74176,85,2.9913
245654,Railroad Ink: Deep Blue Edition,2018,7.16074,592,1.4471
265524,Ramen Fury,2019,6.23077,4936,1.1842
307002,Regicide,2020,7.408,594,1.9371
205896,Rising Sun,2018,7.76453,146,3.299
237182,Root,2018,8.07107,30,3.8234
284217,Rush M.D.,2020,7.42145,2017,2.3571
9220,Saboteur,2004,6.54302,1461,1.3184
199561,Sagrada,2017,7.47164,213,1.9193
377470,Sail,2023,7.34538,1196,2.25
175549,Salem 1692,2015,7.10502,1761,2.098
194655,Santorini,2016,7.34758,286,1.726
324711,Schadenfreude,2021,7.65976,2260,1.72
291453,SCOUT,2019,7.81773,102,1.369
169786,Scythe,2016,8.1205,19,3.4523
354219,Sensō: Battle For Japan,2022,6.11429,20769,2.2
2375,Sequence,1982,6.15175,3328,1.3181
15062,Shadows over Camelot,2005,7.10028,556,2.5672
225977,Sheep 'n' Sheep,2017,6.78572,9552,2.1667
157969,Sheriff of Nottingham,2014,7.05701,572,1.6602
92415,Skull,2011,7.18173,456,1.1134
150145,Skull King,2013,7.54131,303,1.7213
40692,Small World,2009,7.19861,382,2.3475
242302,Space Base,2018,7.54096,218,2.1253
155624,Specter Ops,2015,7.16044,856,2.3966
299169,Spicy,2020,7.15589,914,1.3333
162886,Spirit Island,2017,8.34069,10,4.0748
148228,Splendor,2014,7.41791,234,1.7777
